capture_ts,vehicle_feed_ts,tripupdates_feed_ts,pb_path
1768494857,1768494853,1768494853,tripupdates_snapshots/tripupdates_capture_1768494857_veh_1768494853_tu_1768494853.pb
1768494887,1768494883,1768494883,tripupdates_snapshots/tripupdates_capture_1768494887_veh_1768494883_tu_1768494883.pb
1768494955,1768494950,1768494956,tripupdates_snapshots/tripupdates_capture_1768494955_veh_1768494950_tu_1768494956.pb
1768494986,1768494986,1768494992,tripupdates_snapshots/tripupdates_capture_1768494986_veh_1768494986_tu_1768494992.pb
1768495022,1768495022,1768495022,tripupdates_snapshots/tripupdates_capture_1768495022_veh_1768495022_tu_1768495022.pb
1768495059,1768495058,1768495058,tripupdates_snapshots/tripupdates_capture_1768495059_veh_1768495058_tu_1768495058.pb
1768495090,1768495094,1768495094,tripupdates_snapshots/tripupdates_capture_1768495090_veh_1768495094_tu_1768495094.pb
1768495126,1768495124,1768495124,tripupdates_snapshots/tripupdates_capture_1768495126_veh_1768495124_tu_1768495124.pb
1768495158,1768495154,1768495154,tripupdates_snapshots/tripupdates_capture_1768495158_veh_1768495154_tu_1768495154.pb
1768495189,1768495184,1768495184,tripupdates_snapshots/tripupdates_capture_1768495189_veh_1768495184_tu_1768495184.pb
1768495219,1768495214,1768495214,tripupdates_snapshots/tripupdates_capture_1768495219_veh_1768495214_tu_1768495214.pb
1768495250,1768495244,1768495244,tripupdates_snapshots/tripupdates_capture_1768495250_veh_1768495244_tu_1768495244.pb
1768495280,1768495280,1768495280,tripupdates_snapshots/tripupdates_capture_1768495280_veh_1768495280_tu_1768495280.pb
1768495311,1768495311,1768495311,tripupdates_snapshots/tripupdates_capture_1768495311_veh_1768495311_tu_1768495311.pb
1768495341,1768495341,1768495341,tripupdates_snapshots/tripupdates_capture_1768495341_veh_1768495341_tu_1768495341.pb
1768495372,1768495371,1768495371,tripupdates_snapshots/tripupdates_capture_1768495372_veh_1768495371_tu_1768495371.pb
1768495402,1768495401,1768495401,tripupdates_snapshots/tripupdates_capture_1768495402_veh_1768495401_tu_1768495401.pb
1768495433,1768495431,1768495431,tripupdates_snapshots/tripupdates_capture_1768495433_veh_1768495431_tu_1768495431.pb
1768495463,1768495461,1768495461,tripupdates_snapshots/tripupdates_capture_1768495463_veh_1768495461_tu_1768495461.pb
1768495493,1768495491,1768495491,tripupdates_snapshots/tripupdates_capture_1768495493_veh_1768495491_tu_1768495491.pb
1768495524,1768495521,1768495521,tripupdates_snapshots/tripupdates_capture_1768495524_veh_1768495521_tu_1768495521.pb
1768495554,1768495551,1768495551,tripupdates_snapshots/tripupdates_capture_1768495554_veh_1768495551_tu_1768495551.pb
1768495585,1768495581,1768495581,tripupdates_snapshots/tripupdates_capture_1768495585_veh_1768495581_tu_1768495581.pb
1768495615,1768495611,1768495611,tripupdates_snapshots/tripupdates_capture_1768495615_veh_1768495611_tu_1768495611.pb
1768495645,1768495642,1768495642,tripupdates_snapshots/tripupdates_capture_1768495645_veh_1768495642_tu_1768495642.pb
1768495676,1768495672,1768495672,tripupdates_snapshots/tripupdates_capture_1768495676_veh_1768495672_tu_1768495672.pb
1768495706,1768495702,1768495702,tripupdates_snapshots/tripupdates_capture_1768495706_veh_1768495702_tu_1768495702.pb
1768495736,1768495732,1768495738,tripupdates_snapshots/tripupdates_capture_1768495736_veh_1768495732_tu_1768495738.pb
1768495768,1768495768,1768495768,tripupdates_snapshots/tripupdates_capture_1768495768_veh_1768495768_tu_1768495768.pb
1768495799,1768495798,1768495798,tripupdates_snapshots/tripupdates_capture_1768495799_veh_1768495798_tu_1768495798.pb
1768495830,1768495828,1768495828,tripupdates_snapshots/tripupdates_capture_1768495830_veh_1768495828_tu_1768495828.pb
1768495860,1768495858,1768495858,tripupdates_snapshots/tripupdates_capture_1768495860_veh_1768495858_tu_1768495858.pb
1768495891,1768495888,1768495888,tripupdates_snapshots/tripupdates_capture_1768495891_veh_1768495888_tu_1768495888.pb
1768495921,1768495918,1768495918,tripupdates_snapshots/tripupdates_capture_1768495921_veh_1768495918_tu_1768495918.pb
1768495952,1768495948,1768495948,tripupdates_snapshots/tripupdates_capture_1768495952_veh_1768495948_tu_1768495948.pb
1768495982,1768495978,1768495978,tripupdates_snapshots/tripupdates_capture_1768495982_veh_1768495978_tu_1768495978.pb
1768496013,1768496008,1768496008,tripupdates_snapshots/tripupdates_capture_1768496013_veh_1768496008_tu_1768496008.pb
1768496043,1768496038,1768496038,tripupdates_snapshots/tripupdates_capture_1768496043_veh_1768496038_tu_1768496038.pb
1768496073,1768496069,1768496069,tripupdates_snapshots/tripupdates_capture_1768496073_veh_1768496069_tu_1768496069.pb
1768496104,1768496099,1768496099,tripupdates_snapshots/tripupdates_capture_1768496104_veh_1768496099_tu_1768496099.pb
1768496134,1768496129,1768496129,tripupdates_snapshots/tripupdates_capture_1768496134_veh_1768496129_tu_1768496129.pb
1768496164,1768496159,1768496159,tripupdates_snapshots/tripupdates_capture_1768496164_veh_1768496159_tu_1768496159.pb
1768496195,1768496195,1768496195,tripupdates_snapshots/tripupdates_capture_1768496195_veh_1768496195_tu_1768496195.pb
1768496225,1768496225,1768496225,tripupdates_snapshots/tripupdates_capture_1768496225_veh_1768496225_tu_1768496225.pb
1768496255,1768496255,1768496255,tripupdates_snapshots/tripupdates_capture_1768496255_veh_1768496255_tu_1768496255.pb
1768496286,1768496285,1768496285,tripupdates_snapshots/tripupdates_capture_1768496286_veh_1768496285_tu_1768496285.pb
1768496316,1768496315,1768496315,tripupdates_snapshots/tripupdates_capture_1768496316_veh_1768496315_tu_1768496315.pb
1768496346,1768496345,1768496345,tripupdates_snapshots/tripupdates_capture_1768496346_veh_1768496345_tu_1768496345.pb
1768496377,1768496375,1768496375,tripupdates_snapshots/tripupdates_capture_1768496377_veh_1768496375_tu_1768496375.pb
1768496407,1768496405,1768496405,tripupdates_snapshots/tripupdates_capture_1768496407_veh_1768496405_tu_1768496405.pb
1768496438,1768496435,1768496435,tripupdates_snapshots/tripupdates_capture_1768496438_veh_1768496435_tu_1768496435.pb
1768496468,1768496465,1768496465,tripupdates_snapshots/tripupdates_capture_1768496468_veh_1768496465_tu_1768496465.pb
1768496499,1768496496,1768496496,tripupdates_snapshots/tripupdates_capture_1768496499_veh_1768496496_tu_1768496496.pb
1768496529,1768496526,1768496526,tripupdates_snapshots/tripupdates_capture_1768496529_veh_1768496526_tu_1768496526.pb
1768496560,1768496556,1768496556,tripupdates_snapshots/tripupdates_capture_1768496560_veh_1768496556_tu_1768496556.pb
